x,y1,y2
0.524,0.346089,0.21204
0.525,0.345284,0.212657
0.526,0.344473,0.213273
0.527,0.343657,0.213887
0.528,0.342836,0.214501
0.529,0.342009,0.215112
0.53,0.341176,0.215723
0.531,0.340338,0.216332
0.532,0.339495,0.216939
0.533,0.338646,0.217545
0.534,0.337792,0.21815
0.535,0.336932,0.218753
0.536,0.336067,0.219355
0.537,0.335197,0.219955
0.538,0.334321,0.220553
0.539,0.33344,0.22115
0.54,0.332553,0.221745
0.541,0.331662,0.222339
0.542,0.330765,0.222931
0.543,0.329862,0.223522
0.544,0.328954,0.224111
0.545,0.328042,0.224698
0.546,0.327123,0.225284
0.547,0.3262,0.225868
0.548,0.325271,0.22645
0.549,0.324338,0.227031
0.55,0.323399,0.22761
0.551,0.322454,0.228187
0.552,0.321505,0.228762
0.553,0.320551,0.229336
0.554,0.319591,0.229908
0.555,0.318626,0.230478
0.556,0.317656,0.231046
0.557,0.316681,0.231613
0.558,0.315701,0.232177
0.559,0.314716,0.23274
0.56,0.313726,0.233301
0.561,0.312731,0.23386
0.562,0.311731,0.234417
0.563,0.310726,0.234972
0.564,0.309716,0.235526
0.565,0.308701,0.236077
0.566,0.307681,0.236627
0.567,0.306656,0.237174
0.568,0.305626,0.23772
0.569,0.304592,0.238263
0.57,0.303552,0.238805
0.571,0.302508,0.239344
0.572,0.301459,0.239882
0.573,0.300405,0.240417
0.574,0.299346,0.24095
0.575,0.298282,0.241482
0.576,0.297214,0.242011
0.577,0.29614,0.242538
0.578,0.295063,0.243063
0.579,0.29398,0.243586
0.58,0.292893,0.244107
0.581,0.291801,0.244625
0.582,0.290704,0.245142
0.583,0.289602,0.245656
0.584,0.288497,0.246168
0.585,0.287386,0.246678
0.586,0.286271,0.247185
0.587,0.285151,0.247691
0.588,0.284027,0.248194
0.589,0.282898,0.248694
0.59,0.281764,0.249193
0.591,0.280626,0.249689
0.592,0.279484,0.250183
0.593,0.278337,0.250675
0.594,0.277186,0.251164
0.595,0.27603,0.251651
0.596,0.27487,0.252136
0.597,0.273705,0.252618
0.598,0.272536,0.253098
0.599,0.271363,0.253575
0.6,0.270185,0.254051
0.601,0.269003,0.254523
0.602,0.267817,0.254993
0.603,0.266626,0.255461
0.604,0.265432,0.255927
0.605,0.264232,0.256389
0.606,0.263029,0.25685
0.607,0.261822,0.257308
0.608,0.26061,0.257763
0.609,0.259394,0.258216
0.61,0.258174,0.258666
0.611,0.25695,0.259114
0.612,0.255722,0.259559
0.613,0.254489,0.260002
0.614,0.253253,0.260442
0.615,0.252012,0.260879
0.616,0.250768,0.261314
0.617,0.249519,0.261746
0.618,0.248267,0.262176
0.619,0.24701,0.262603
0.62,0.24575,0.263027
0.621,0.244485,0.263449
0.622,0.243217,0.263868
0.623,0.241945,0.264284
0.624,0.240669,0.264697
0.625,0.239389,0.265108
0.626,0.238105,0.265516
0.627,0.236818,0.265922
0.628,0.235526,0.266324
0.629,0.234231,0.266724
0.63,0.232932,0.267121
0.631,0.23163,0.267515
0.632,0.230323,0.267907
0.633,0.229013,0.268296
0.634,0.2277,0.268681
0.635,0.226382,0.269065
0.636,0.225062,0.269445
0.637,0.223737,0.269822
0.638,0.222409,0.270196
0.639,0.221077,0.270568
0.64,0.219742,0.270937
0.641,0.218403,0.271303
0.642,0.217061,0.271665
0.643,0.215716,0.272025
0.644,0.214367,0.272383
0.645,0.213014,0.272737
0.646,0.211658,0.273088
0.647,0.210299,0.273436
0.648,0.208936,0.273781
0.649,0.20757,0.274123
0.65,0.206201,0.274463
0.651,0.204828,0.274799
0.652,0.203452,0.275132
0.653,0.202073,0.275462
0.654,0.20069,0.275789
0.655,0.199305,0.276114
0.656,0.197916,0.276435
0.657,0.196524,0.276753
0.658,0.195129,0.277068
0.659,0.19373,0.277379
0.66,0.192329,0.277688
