omega,t,out,in
0.7,24.756,-0.04126,-0.399
0.7,24.836,-0.04752,-0.398
0.7,24.916,-0.05339,-0.395
0.7,24.996,-0.05822,-0.39
0.7,25.076,-0.0624,-0.385
0.7,25.156,-0.06613,-0.378
0.7,25.236,-0.06976,-0.37
0.7,25.316,-0.07321,-0.361
0.7,25.396,-0.07624,-0.351
0.7,25.476,-0.07954,-0.34
0.7,25.556,-0.08253,-0.328
0.7,25.636,-0.08554,-0.314
0.7,25.716,-0.08777,-0.3
0.7,25.796,-0.08942,-0.285
0.7,25.876,-0.09049,-0.269
0.7,25.956,-0.09081,-0.252
0.7,26.036,-0.09075,-0.234
0.7,26.116,-0.09086,-0.215
0.7,26.196,-0.09091,-0.196
0.7,26.276,-0.09098,-0.176
0.7,26.356,-0.09106,-0.156
0.7,26.436,-0.09097,-0.135
0.7,26.516,-0.09102,-0.114
0.7,26.596,-0.09122,-0.092
0.7,26.676,-0.09101,-0.07
0.7,26.756,-0.0912,-0.048
0.7,26.836,-0.09105,-0.026
0.7,26.916,-0.09109,-0.003
0.7,26.996,-0.0904,0.019
0.7,27.076,-0.09013,0.041
0.7,27.156,-0.08972,0.064
0.7,27.236,-0.08946,0.086
0.7,27.316,-0.0892,0.107
0.7,27.396,-0.08799,0.129
0.7,27.476,-0.08484,0.15
0.7,27.556,-0.08107,0.17
0.7,27.636,-0.07678,0.19
0.7,27.716,-0.07281,0.21
0.7,27.796,-0.0684,0.228
0.7,27.876,-0.06424,0.246
0.7,27.956,-0.05985,0.264
0.7,28.036,-0.05521,0.28
0.7,28.116,-0.05047,0.296
0.7,28.196,-0.04531,0.31
0.7,28.276,-0.03954,0.324
0.7,28.356,-0.03326,0.336
0.7,28.436,-0.02681,0.348
0.7,28.516,-0.01949,0.359
0.7,28.596,-0.01224,0.368
0.7,28.676,-0.00466,0.376
0.7,28.756,0.00224,0.383
0.7,28.836,0.00865,0.389
0.7,28.916,0.01462,0.394
0.7,28.996,0.02084,0.397
0.7,29.076,0.02687,0.399
0.7,29.156,0.03319,0.4
0.7,29.236,0.03897,0.4
0.7,29.316,0.0445,0.398
0.7,29.396,0.0493,0.395
0.7,29.476,0.05399,0.391
0.7,29.556,0.05847,0.386
0.7,29.636,0.063,0.379
0.7,29.716,0.06695,0.371
0.7,29.796,0.07066,0.362
0.7,29.876,0.07372,0.352
0.7,29.956,0.07613,0.341
0.7,30.036,0.07809,0.329
0.7,30.116,0.07979,0.316
0.7,30.196,0.08175,0.302
0.7,30.276,0.08295,0.286
0.7,30.356,0.08416,0.27
0.7,30.436,0.08466,0.253
0.7,30.516,0.08467,0.236
0.7,30.596,0.08443,0.217
0.7,30.676,0.08439,0.198
0.7,30.756,0.08428,0.178
0.7,30.836,0.08376,0.158
0.7,30.916,0.08373,0.137
0.7,30.996,0.08363,0.116
0.7,31.076,0.08371,0.094
0.7,31.156,0.08393,0.072
0.7,31.236,0.08355,0.05
0.7,31.316,0.08344,0.028
0.7,31.396,0.08356,0.006
0.7,31.476,0.0836,-0.017
0.7,31.556,0.08355,-0.039
0.7,31.636,0.08347,-0.061
0.7,31.716,0.08323,-0.083
0.7,31.796,0.08275,-0.105
0.7,31.876,0.08153,-0.127
0.7,31.956,0.07897,-0.148
0.7,32.036,0.07581,-0.168
0.7,32.116,0.07205,-0.188
0.7,32.196,0.06831,-0.208
0.7,32.276,0.06411,-0.227
0.7,32.356,0.05917,-0.245
0.7,32.436,0.0538,-0.262
0.7,32.516,0.04906,-0.278
0.7,32.596,0.04438,-0.294
0.7,32.676,0.03941,-0.309
0.7,32.756,0.03446,-0.323
0.7,32.836,0.02903,-0.335
0.7,32.916,0.02323,-0.347
0.7,32.996,0.01692,-0.358
0.7,33.076,0.01059,-0.367
0.7,33.156,0.00435,-0.375
0.7,33.236,-0.00244,-0.382
0.7,33.316,-0.00928,-0.388
0.7,33.396,-0.01619,-0.393
0.7,33.476,-0.02266,-0.397
0.7,33.556,-0.02884,-0.399
0.7,33.636,-0.03513,-0.4
0.7,33.716,-0.04134,-0.4
0.7,33.796,-0.04729,-0.398
0.7,33.876,-0.05317,-0.395
0.7,33.956,-0.05848,-0.391
0.7,34.036,-0.06305,-0.386
0.7,34.116,-0.06743,-0.38
0.7,34.196,-0.07086,-0.372
0.7,34.276,-0.0737,-0.363
0.7,34.356,-0.0764,-0.353
0.7,34.436,-0.07853,-0.342
0.7,34.516,-0.08044,-0.33
0.7,34.596,-0.08254,-0.317
0.7,34.676,-0.08437,-0.303
0.7,34.756,-0.0859,-0.288
0.7,34.836,-0.08715,-0.272
0.7,34.916,-0.0877,-0.255
0.7,34.996,-0.08797,-0.237
0.7,35.076,-0.08808,-0.219
0.7,35.156,-0.08814,-0.2
0.7,35.236,-0.08788,-0.18
0.7,35.316,-0.08806,-0.16
0.7,35.396,-0.08828,-0.139
0.7,35.476,-0.08817,-0.118
0.7,35.556,-0.08809,-0.096
0.7,35.636,-0.08799,-0.075
0.7,35.716,-0.08792,-0.052
0.7,35.796,-0.08792,-0.03
0.7,35.876,-0.08764,-0.008
0.7,35.956,-0.08729,0.015
0.7,36.036,-0.08697,0.037
0.7,36.116,-0.08667,0.059
0.7,36.196,-0.08638,0.081
0.7,36.276,-0.08584,0.103
0.7,36.356,-0.08406,0.124
0.7,36.436,-0.08079,0.146
0.7,36.516,-0.07674,0.166
0.7,36.596,-0.07316,0.186
0.7,36.676,-0.06909,0.206
0.7,36.756,-0.06536,0.225
0.7,36.836,-0.06092,0.243
0.7,36.916,-0.05666,0.26
0.7,36.996,-0.05202,0.277
0.7,37.076,-0.04739,0.293
0.7,37.156,-0.04248,0.307
0.7,37.236,-0.03738,0.321
0.7,37.316,-0.03194,0.334
0.7,37.396,-0.02596,0.346
0.7,37.476,-0.01947,0.357
0.7,37.556,-0.01263,0.366
0.7,37.636,-0.00489,0.375
0.7,37.716,0.00247,0.382
0.7,37.796,0.00944,0.388
0.7,37.876,0.01602,0.393
0.7,37.956,0.02226,0.396
0.7,38.036,0.02855,0.399
0.7,38.116,0.03487,0.4
0.7,38.196,0.04093,0.4
0.7,38.276,0.04638,0.398
0.7,38.356,0.05132,0.396
0.7,38.436,0.05621,0.392
0.7,38.516,0.06104,0.387
0.7,38.596,0.06555,0.38
0.7,38.676,0.0698,0.373
0.7,38.756,0.0737,0.364
0.7,38.836,0.07721,0.354
0.7,38.916,0.08046,0.344
0.7,38.996,0.08323,0.332
0.7,39.076,0.08542,0.318
0.7,39.156,0.08727,0.304
0.7,39.236,0.0885,0.289
0.7,39.316,0.08964,0.274
0.7,39.396,0.09012,0.257
0.7,39.476,0.09057,0.239
0.7,39.556,0.09027,0.221
0.7,39.636,0.09002,0.202
0.7,39.716,0.08995,0.182
0.7,39.796,0.08962,0.162
0.7,39.876,0.08921,0.141
0.8,0.073,0.00006,0.023
0.8,0.123,0.00041,0.039
0.8,0.172,0.00032,0.055
0.8,0.223,0.00024,0.071
0.8,0.272,0.00071,0.087
0.8,0.322,0.00077,0.102
0.8,0.373,0.00073,0.117
0.8,0.422,0.00117,0.133
0.8,0.472,0.00156,0.148
0.8,0.522,0.00138,0.162
0.8,0.573,0.00149,0.177
0.8,0.623,0.00166,0.191
0.8,0.673,0.00188,0.205
0.8,0.723,0.00197,0.219
0.8,0.772,0.00289,0.232
0.8,0.823,0.00402,0.245
0.8,0.873,0.00567,0.257
0.8,0.922,0.0076,0.269
0.8,0.973,0.00994,0.281
0.8,1.023,0.01244,0.292
0.8,1.072,0.01532,0.303
0.8,1.123,0.01826,0.313
0.8,1.173,0.02116,0.323
0.8,1.222,0.02364,0.332
0.8,1.273,0.02606,0.34
0.8,1.322,0.02841,0.349
0.8,1.373,0.031,0.356
0.8,1.423,0.03371,0.363
0.8,1.473,0.03629,0.37
0.8,1.522,0.03846,0.375
0.8,1.572,0.04121,0.381
0.8,1.623,0.0441,0.385
0.8,1.673,0.04727,0.389
0.8,1.723,0.05019,0.393
0.8,1.772,0.0535,0.395
0.8,1.822,0.0566,0.397
0.8,1.873,0.05956,0.399
0.8,1.923,0.0626,0.4
0.8,1.973,0.06528,0.4
0.8,2.023,0.06814,0.4
0.8,2.072,0.07058,0.398
0.8,2.122,0.07299,0.397
0.8,2.173,0.07548,0.394
0.8,2.222,0.07786,0.391
0.8,2.273,0.08024,0.388
0.8,2.322,0.08256,0.384
0.8,2.372,0.08519,0.379
0.8,2.423,0.0872,0.373
0.8,2.472,0.08925,0.367
0.8,2.523,0.09112,0.361
0.8,2.572,0.09263,0.353
0.8,2.622,0.0938,0.346
0.8,2.673,0.0947,0.337
0.8,2.722,0.09555,0.328
0.8,2.773,0.09609,0.319
0.8,2.822,0.09628,0.309
0.8,2.872,0.09638,0.299
0.8,2.923,0.09649,0.288
0.8,2.972,0.0965,0.277
0.8,3.023,0.09618,0.265
0.8,3.072,0.09642,0.253
0.8,3.122,0.09612,0.24
0.8,3.173,0.09615,0.227
0.8,3.222,0.09596,0.214
0.8,3.272,0.09612,0.2
0.8,3.323,0.09585,0.186
0.8,3.372,0.09561,0.172
0.8,3.422,0.09545,0.157
0.8,3.472,0.09546,0.142
0.8,3.522,0.0953,0.127
0.8,3.573,0.09536,0.112
0.8,3.623,0.09518,0.096
0.8,3.672,0.09523,0.081
0.8,3.722,0.09527,0.065
0.8,3.772,0.09525,0.049
0.8,3.823,0.09525,0.033
0.8,3.873,0.09532,0.017
0.8,3.922,0.09532,0.001
0.8,3.972,0.09536,-0.015
0.8,4.023,0.09526,-0.031
0.8,4.073,0.09519,-0.046
0.8,4.123,0.09523,-0.062
0.8,4.173,0.09523,-0.078
0.8,4.222,0.09499,-0.094
0.8,4.273,0.09481,-0.109
0.8,4.323,0.09434,-0.124
0.8,4.373,0.09374,-0.14
0.8,4.423,0.09296,-0.154
0.8,4.472,0.0919,-0.169
0.8,4.523,0.09008,-0.183
0.8,4.573,0.08736,-0.197
0.8,4.623,0.08397,-0.211
0.8,4.673,0.08063,-0.225
0.8,4.723,0.07732,-0.238
0.8,4.773,0.07394,-0.25
0.8,4.823,0.07059,-0.263
0.8,4.873,0.06735,-0.275
0.8,4.923,0.06386,-0.286
0.8,4.973,0.06023,-0.297
0.8,5.023,0.05635,-0.307
0.8,5.073,0.05245,-0.317
0.8,5.123,0.04847,-0.327
0.8,5.173,0.04369,-0.336
0.8,5.223,0.0388,-0.344
0.8,5.273,0.03408,-0.352
0.8,5.323,0.02954,-0.359
0.8,5.373,0.02472,-0.366
0.8,5.423,0.02018,-0.372
0.8,5.472,0.01562,-0.378
0.8,5.523,0.0106,-0.383
0.8,5.573,0.00514,-0.387
0.8,5.623,0.00001,-0.391
0.8,5.673,-0.00493,-0.394
0.8,5.722,-0.01015,-0.396
0.8,5.773,-0.01517,-0.398
0.8,5.823,-0.02044,-0.399
0.8,5.873,-0.02542,-0.4
0.8,5.923,-0.03077,-0.4
0.8,5.972,-0.03604,-0.399
0.8,6.023,-0.03997,-0.398
0.8,6.073,-0.04412,-0.396
0.8,6.123,-0.04787,-0.393
0.8,6.173,-0.0513,-0.39
0.8,6.222,-0.05478,-0.386
0.8,6.273,-0.05752,-0.381
0.8,6.323,-0.06067,-0.376
0.8,6.373,-0.06355,-0.371
0.8,6.423,-0.06669,-0.364
0.8,6.472,-0.06919,-0.357
0.8,6.523,-0.07194,-0.35
0.8,6.572,-0.07418,-0.342
0.8,6.622,-0.07597,-0.333
0.8,6.673,-0.07767,-0.324
0.8,6.722,-0.07931,-0.315
0.8,6.773,-0.08066,-0.304
0.8,6.822,-0.08241,-0.294
0.8,6.872,-0.0835,-0.283
0.8,6.923,-0.08431,-0.271
0.8,6.972,-0.08486,-0.259
0.8,7.023,-0.0853,-0.247
0.8,7.072,-0.08543,-0.234
0.8,7.122,-0.08556,-0.221
0.8,7.173,-0.08553,-0.207
0.8,7.222,-0.08566,-0.194
0.8,7.273,-0.08575,-0.179
0.8,7.323,-0.08627,-0.165
0.8,7.372,-0.08642,-0.15
0.8,7.423,-0.08572,-0.135
0.8,7.472,-0.08573,-0.12
0.8,7.523,-0.0858,-0.105
0.8,7.573,-0.08579,-0.089
0.8,7.622,-0.0861,-0.074
0.8,7.673,-0.08567,-0.058
0.8,7.722,-0.0858,-0.042
0.8,7.773,-0.08571,-0.026
0.8,7.823,-0.08548,-0.01
0.8,7.872,-0.08516,0.006
0.8,7.923,-0.0851,0.022
0.8,7.972,-0.08479,0.038
0.8,8.023,-0.08468,0.054
0.8,8.073,-0.08451,0.07
0.8,8.123,-0.08363,0.085
0.8,8.173,-0.08272,0.101
0.8,8.222,-0.08117,0.116
0.8,8.273,-0.07964,0.131
0.8,8.323,-0.0775,0.146
0.8,8.373,-0.07504,0.161
0.8,8.423,-0.0729,0.176
0.8,8.472,-0.0706,0.19
0.8,8.523,-0.06832,0.204
0.8,8.573,-0.06574,0.217
0.8,8.623,-0.06319,0.231
0.8,8.673,-0.06049,0.244
0.8,8.722,-0.05733,0.256
0.8,8.773,-0.05453,0.268
0.8,8.823,-0.05147,0.28
0.8,8.873,-0.04847,0.291
0.8,8.923,-0.04532,0.302
0.8,8.972,-0.04211,0.312
0.8,9.023,-0.03887,0.322
0.8,9.073,-0.03548,0.331
0.8,9.123,-0.03213,0.34
0.8,9.172,-0.02853,0.348
0.8,9.223,-0.02472,0.356
0.8,9.273,-0.02128,0.363
0.8,9.323,-0.01737,0.369
0.8,9.373,-0.01361,0.375
0.8,9.422,-0.01,0.38
0.8,9.473,-0.00625,0.385
0.8,9.523,-0.00203,0.389
0.8,9.573,0.002,0.392
0.8,9.623,0.00647,0.395
0.8,9.672,0.01094,0.397
0.8,9.723,0.01548,0.399
0.8,9.773,0.02021,0.4
0.8,9.823,0.02453,0.4
0.8,9.873,0.02839,0.4
0.8,9.922,0.0318,0.399
0.8,9.973,0.0352,0.397
0.8,10.023,0.03829,0.395
0.8,10.073,0.04152,0.392
0.8,10.123,0.04503,0.388
0.8,10.172,0.04816,0.384
0.8,10.223,0.05166,0.379
0.8,10.273,0.05474,0.374
0.8,10.323,0.05759,0.368
0.8,10.373,0.06041,0.361
0.8,10.422,0.06288,0.354
0.8,10.473,0.06523,0.346
0.8,10.523,0.06746,0.338
0.8,10.573,0.06961,0.329
0.8,10.623,0.07118,0.32
0.8,10.672,0.07259,0.31
0.8,10.723,0.07388,0.3
0.8,10.773,0.07517,0.289
0.8,10.823,0.07591,0.278
0.8,10.873,0.07685,0.266
0.8,10.923,0.07722,0.254
0.8,10.973,0.07776,0.241
0.8,11.023,0.07809,0.228
0.8,11.073,0.07806,0.215
0.8,11.123,0.07784,0.201
0.8,11.173,0.07777,0.187
0.8,11.223,0.07758,0.173
0.8,11.273,0.07747,0.158
0.8,11.323,0.0773,0.143
0.8,11.373,0.07724,0.128
0.8,11.423,0.07714,0.113
0.8,11.473,0.07702,0.098
0.8,11.523,0.07702,0.082
0.8,11.573,0.07715,0.066
0.8,11.623,0.07685,0.051
0.8,11.673,0.07709,0.035
0.8,11.723,0.07705,0.019
0.8,11.773,0.07712,0.003
0.8,11.823,0.07707,-0.013
0.8,11.873,0.07727,-0.029
0.8,11.923,0.0772,-0.045
0.8,11.973,0.07686,-0.061
0.8,12.023,0.0767,-0.077
0.8,12.073,0.07604,-0.092
0.8,12.123,0.07538,-0.108
0.8,12.173,0.07474,-0.123
0.8,12.223,0.07351,-0.138
0.8,12.273,0.07205,-0.153
0.8,12.323,0.07006,-0.168
0.8,12.373,0.06799,-0.182
0.8,12.423,0.06498,-0.196
0.8,12.473,0.0618,-0.21
0.8,12.523,0.05859,-0.224
0.8,12.573,0.05527,-0.237
0.8,12.623,0.05232,-0.249
0.8,12.673,0.04933,-0.262
0.8,12.723,0.04595,-0.274
0.8,12.773,0.04244,-0.285
0.8,12.823,0.03853,-0.296
0.8,12.873,0.03489,-0.307
0.8,12.923,0.03122,-0.317
0.8,12.972,0.02726,-0.326
0.8,13.023,0.02329,-0.335
0.8,13.073,0.01958,-0.344
0.8,13.123,0.01605,-0.351
0.8,13.173,0.01169,-0.359
0.8,13.222,0.00803,-0.366
0.8,13.273,0.00399,-0.372
0.8,13.323,-0.00021,-0.377
0.8,13.373,-0.0045,-0.382
0.8,13.423,-0.0089,-0.387
0.8,13.472,-0.01288,-0.391
0.8,13.523,-0.01713,-0.394
0.8,13.573,-0.02148,-0.396
0.8,13.623,-0.02552,-0.398
0.8,13.673,-0.02971,-0.399
0.8,13.722,-0.0339,-0.4
0.8,13.773,-0.03809,-0.4
0.8,13.823,-0.04197,-0.399
0.8,13.873,-0.04612,-0.398
0.8,13.923,-0.05014,-0.396
0.8,13.972,-0.05361,-0.393
0.8,14.023,-0.05685,-0.39
0.8,14.073,-0.0601,-0.386
0.8,14.123,-0.0633,-0.382
0.8,14.173,-0.06638,-0.377
0.8,14.222,-0.0695,-0.371
0.8,14.272,-0.07229,-0.365
0.8,14.323,-0.07474,-0.358
0.8,14.373,-0.07716,-0.351
0.8,14.423,-0.07916,-0.343
0.8,14.472,-0.081,-0.334
0.8,14.522,-0.08249,-0.325
0.8,14.573,-0.08387,-0.315
0.8,14.623,-0.08504,-0.305
0.8,14.673,-0.08601,-0.295
0.8,14.722,-0.087,-0.284
0.8,14.772,-0.08761,-0.272
0.8,14.823,-0.08785,-0.26
0.8,14.873,-0.08804,-0.248
0.8,14.923,-0.08826,-0.235
0.8,14.972,-0.0881,-0.222
0.8,15.022,-0.08817,-0.209
0.8,15.073,-0.08839,-0.195
0.8,15.123,-0.08837,-0.181
0.8,15.173,-0.08816,-0.166
0.8,15.222,-0.0882,-0.151
0.8,15.272,-0.08836,-0.137
0.8,15.323,-0.08842,-0.121
0.8,15.373,-0.0883,-0.106
0.8,15.423,-0.0883,-0.091
0.8,15.472,-0.08817,-0.075
0.8,15.522,-0.08838,-0.059
0.8,15.573,-0.08809,-0.043
0.8,15.623,-0.08804,-0.027
0.8,15.673,-0.08794,-0.011
0.8,15.722,-0.08755,0.005
0.8,15.772,-0.08724,0.021
0.8,15.823,-0.08675,0.037
0.8,15.873,-0.08655,0.052
0.8,15.923,-0.08641,0.068
0.8,15.972,-0.08594,0.084
0.8,16.022,-0.08486,0.1
0.8,16.073,-0.08342,0.115
0.8,16.123,-0.08167,0.13
0.8,16.173,-0.07948,0.145
0.8,16.222,-0.07713,0.16
0.8,16.272,-0.07472,0.175
0.8,16.323,-0.07208,0.189
0.8,16.373,-0.06914,0.203
0.8,16.423,-0.06633,0.216
0.8,16.472,-0.06312,0.23
0.8,16.522,-0.06001,0.243
0.8,16.573,-0.05675,0.255
0.8,16.623,-0.05366,0.267
0.8,16.673,-0.05089,0.279
0.8,16.722,-0.04768,0.29
0.8,16.772,-0.0446,0.301
0.8,16.823,-0.04186,0.311
0.8,16.873,-0.0387,0.321
0.8,16.923,-0.03527,0.33
0.8,16.972,-0.03161,0.339
0.8,17.022,-0.02791,0.347
0.8,17.073,-0.02426,0.355
0.8,17.123,-0.02047,0.362
0.8,17.173,-0.01656,0.369
0.8,17.222,-0.01254,0.374
0.8,17.272,-0.00887,0.38
0.8,17.323,-0.0051,0.384
0.8,17.373,-0.00112,0.389
0.8,17.423,0.00292,0.392
0.8,17.472,0.00714,0.395
0.8,17.522,0.01163,0.397
0.8,17.573,0.01589,0.399
0.8,17.623,0.02031,0.4
0.8,17.673,0.02465,0.4
0.8,17.722,0.02862,0.4
0.8,17.772,0.03279,0.399
0.8,17.823,0.03665,0.397
0.8,17.873,0.03997,0.395
0.8,17.923,0.04358,0.392
0.8,17.972,0.0469,0.388
0.8,18.022,0.05037,0.384
0.8,18.073,0.05329,0.38
0.8,18.123,0.05629,0.374
0.8,18.173,0.05908,0.368
0.8,18.222,0.06141,0.362
0.8,18.272,0.06377,0.355
0.8,18.323,0.066,0.347
0.8,18.373,0.06801,0.339
0.8,18.423,0.06977,0.33
0.8,18.472,0.07146,0.321
0.8,18.523,0.07304,0.311
0.8,18.573,0.07453,0.3
0.8,18.623,0.07571,0.29
0.8,18.673,0.07675,0.278
0.8,18.722,0.07774,0.267
0.8,18.773,0.07832,0.255
0.8,18.823,0.0787,0.242
0.8,18.873,0.07847,0.229
0.8,18.923,0.0785,0.216
0.8,18.972,0.07849,0.202
0.8,19.023,0.07822,0.188
0.8,19.073,0.07825,0.174
0.8,19.123,0.07816,0.159
0.8,19.173,0.07795,0.145
0.8,19.222,0.07779,0.13
0.8,19.273,0.07769,0.114
0.8,19.323,0.07764,0.099
0.8,19.373,0.07754,0.083
0.8,19.423,0.07759,0.068
0.8,19.472,0.07755,0.052
0.8,19.523,0.07757,0.036
0.8,19.573,0.07758,0.02
0.8,19.623,0.07749,0.004
0.8,19.673,0.0775,-0.012
0.8,19.722,0.07765,-0.028
0.8,19.773,0.07782,-0.044
0.8,19.823,0.07757,-0.06
0.8,19.873,0.07712,-0.076
0.8,19.923,0.07629,-0.091
0.8,19.972,0.07551,-0.107
0.8,20.023,0.07433,-0.122
0.8,20.073,0.07279,-0.137
0.8,20.123,0.07071,-0.152
0.8,20.173,0.06863,-0.167
0.8,20.222,0.06629,-0.181
0.8,20.273,0.06365,-0.195
0.8,20.323,0.06073,-0.209
0.8,20.373,0.05776,-0.223
0.8,20.423,0.0546,-0.236
0.8,20.472,0.0513,-0.248
0.8,20.523,0.04813,-0.261
0.8,20.573,0.04486,-0.273
0.8,20.623,0.04145,-0.284
0.8,20.673,0.03793,-0.295
0.8,20.722,0.03463,-0.306
0.8,20.773,0.03134,-0.316
0.8,20.823,0.02795,-0.325
0.8,20.873,0.02421,-0.334
0.8,20.923,0.02034,-0.343
0.8,20.972,0.0166,-0.351
0.8,21.023,0.01291,-0.358
0.8,21.073,0.00885,-0.365
0.8,21.123,0.0048,-0.371
0.8,21.173,0.00068,-0.377
0.8,21.222,-0.00357,-0.382
0.8,21.273,-0.00796,-0.386
0.8,21.323,-0.01222,-0.39
0.8,21.373,-0.01699,-0.393
0.8,21.423,-0.02114,-0.396
0.8,21.472,-0.02505,-0.398
0.8,21.522,-0.02927,-0.399
0.8,21.573,-0.03283,-0.4
0.8,21.623,-0.03702,-0.4
0.8,21.673,-0.04089,-0.399
0.8,21.722,-0.04448,-0.398
0.8,21.772,-0.04827,-0.396
0.8,21.823,-0.05197,-0.394
0.8,21.873,-0.05595,-0.39
0.8,21.923,-0.05928,-0.387
0.8,21.972,-0.06297,-0.382
0.8,22.022,-0.06633,-0.377
0.8,22.073,-0.06968,-0.372
0.8,22.123,-0.0727,-0.365
0.8,22.173,-0.07509,-0.359
0.8,22.222,-0.07723,-0.351
0.8,22.272,-0.07953,-0.343
0.8,22.323,-0.08166,-0.335
0.8,22.373,-0.08321,-0.326
0.8,22.423,-0.08454,-0.316
0.8,22.472,-0.08583,-0.306
0.8,22.522,-0.08696,-0.296
0.8,22.573,-0.08774,-0.285
0.8,22.623,-0.08801,-0.273
0.8,22.673,-0.08838,-0.261
0.8,22.722,-0.08842,-0.249
0.8,22.772,-0.08841,-0.236
0.8,22.823,-0.08863,-0.223
0.8,22.873,-0.08848,-0.21
0.8,22.923,-0.0885,-0.196
0.8,22.972,-0.08862,-0.182
0.8,23.022,-0.08893,-0.167
0.8,23.073,-0.08884,-0.153
0.8,23.123,-0.08892,-0.138
0.8,23.173,-0.08876,-0.123
0.8,23.222,-0.08861,-0.107
0.8,23.272,-0.08871,-0.092
0.8,23.323,-0.089,-0.076
0.8,23.373,-0.08869,-0.06
0.8,23.423,-0.08845,-0.045
0.8,23.472,-0.08829,-0.029
0.8,23.522,-0.08824,-0.013
0.8,23.573,-0.08821,0.003
0.8,23.623,-0.08796,0.019
0.8,23.673,-0.08793,0.035
0.8,23.722,-0.08751,0.051
0.8,23.772,-0.08709,0.067
0.8,23.823,-0.08637,0.083
0.8,23.873,-0.08506,0.098
0.8,23.923,-0.08317,0.114
0.8,23.972,-0.08116,0.129
0.8,24.022,-0.07875,0.144
0.8,24.073,-0.07664,0.159
0.8,24.123,-0.07432,0.173
0.8,24.173,-0.07194,0.188
0.8,24.222,-0.06954,0.202
0.8,24.272,-0.06706,0.215
0.8,24.323,-0.06437,0.229
0.8,24.373,-0.06172,0.242
0.8,24.423,-0.05821,0.254
0.8,24.472,-0.05515,0.266
0.8,24.522,-0.05205,0.278
0.8,24.573,-0.04865,0.289
0.8,24.623,-0.04539,0.3
0.8,24.673,-0.04237,0.31
0.8,24.722,-0.03922,0.32
0.8,24.772,-0.03604,0.33
0.8,24.823,-0.03259,0.338
0.8,24.873,-0.02895,0.347
0.8,24.923,-0.02483,0.354
0.9,0.073,-0.01891,0.026
0.9,0.123,-0.02112,0.044
0.9,0.172,-0.0203,0.062
0.9,0.223,-0.0197,0.08
0.9,0.272,-0.01942,0.097
0.9,0.322,-0.01951,0.114
0.9,0.373,-0.0191,0.132
0.9,0.422,-0.01904,0.148
0.9,0.472,-0.01873,0.165
0.9,0.522,-0.01814,0.181
0.9,0.573,-0.01663,0.197
0.9,0.623,-0.01525,0.213
0.9,0.673,-0.01383,0.228
0.9,0.723,-0.01193,0.242
0.9,0.772,-0.01018,0.256
0.9,0.823,-0.00788,0.27
0.9,0.873,-0.00559,0.283
0.9,0.922,-0.00285,0.295
0.9,0.973,-0.0001,0.307
0.9,1.023,0.00271,0.318
0.9,1.072,0.00574,0.329
0.9,1.123,0.00846,0.339
0.9,1.173,0.01154,0.348
0.9,1.222,0.01446,0.356
0.9,1.273,0.01732,0.364
0.9,1.322,0.02074,0.371
0.9,1.373,0.02405,0.378
0.9,1.423,0.02741,0.383
0.9,1.473,0.03025,0.388
0.9,1.522,0.03347,0.392
0.9,1.572,0.03654,0.395
0.9,1.623,0.03964,0.398
0.9,1.673,0.04263,0.399
0.9,1.723,0.04584,0.4
0.9,1.772,0.04905,0.4
0.9,1.822,0.05271,0.399
0.9,1.873,0.05608,0.397
0.9,1.923,0.05948,0.395
0.9,1.973,0.0625,0.392
0.9,2.023,0.0651,0.388
0.9,2.072,0.0672,0.383
0.9,2.122,0.06924,0.377
0.9,2.173,0.07135,0.371
0.9,2.222,0.07312,0.364
0.9,2.273,0.07469,0.356
0.9,2.322,0.07591,0.347
0.9,2.372,0.07724,0.338
0.9,2.423,0.078,0.328
0.9,2.472,0.07914,0.317
0.9,2.523,0.07977,0.306
0.9,2.572,0.08035,0.294
0.9,2.622,0.08091,0.282
0.9,2.673,0.08059,0.269
0.9,2.722,0.08064,0.255
0.9,2.773,0.08017,0.241
0.9,2.822,0.08042,0.226
0.9,2.872,0.08046,0.211
0.9,2.923,0.08019,0.196
0.9,2.972,0.08,0.18
0.9,3.023,0.07975,0.164
0.9,3.072,0.07972,0.147
0.9,3.122,0.07959,0.13
0.9,3.173,0.07952,0.113
0.9,3.222,0.07902,0.096
0.9,3.272,0.07951,0.078
0.9,3.323,0.07944,0.06
0.9,3.372,0.07961,0.042
0.9,3.422,0.07929,0.025
0.9,3.472,0.07907,0.007
0.9,3.522,0.079,-0.011
0.9,3.573,0.07892,-0.029
0.9,3.623,0.07845,-0.047
0.9,3.672,0.07798,-0.065
0.9,3.722,0.07782,-0.083
0.9,3.772,0.07711,-0.1
0.9,3.823,0.07661,-0.118
0.9,3.873,0.07534,-0.135
0.9,3.922,0.07364,-0.152
0.9,3.972,0.07134,-0.168
0.9,4.023,0.06827,-0.184
0.9,4.073,0.06454,-0.2
0.9,4.123,0.06119,-0.215
0.9,4.173,0.05806,-0.23
0.9,4.222,0.05471,-0.245
0.9,4.273,0.05155,-0.259
0.9,4.323,0.04828,-0.272
0.9,4.373,0.04494,-0.285
0.9,4.423,0.04184,-0.297
0.9,4.472,0.03844,-0.309
0.9,4.523,0.03438,-0.32
0.9,4.573,0.03037,-0.331
0.9,4.623,0.02636,-0.341
0.9,4.673,0.02189,-0.35
0.9,4.723,0.01799,-0.358
