x,y2,y1
3.855,0.07607,0.4
3.865,0.0762,0.4
3.875,0.07629,0.4
3.885,0.07631,0.4
3.894,0.0763,0.4
3.905,0.07632,0.4
3.914,0.07623,0.4
3.925,0.0762,0.4
3.935,0.07633,0.4
3.944,0.07641,0.4
3.954,0.07635,0.4
3.964,0.0763,0.4
3.974,0.07626,0.4
3.984,0.07607,0.4
3.994,0.07599,0.4
4.004,0.07597,0.4
4.015,0.07595,0.4
4.024,0.07595,0.4
4.035,0.07598,0.4
4.044,0.0761,0.4
4.054,0.07614,0.4
4.065,0.07614,0.4
4.075,0.07622,0.4
4.085,0.07631,0.4
4.095,0.07617,0.4
4.104,0.07617,0.4
4.115,0.07621,0.4
4.124,0.07619,0.4
4.135,0.07606,0.4
4.144,0.07613,0.4
4.155,0.0762,0.4
4.164,0.07617,0.4
4.175,0.07625,0.4
4.184,0.07646,0.4
4.194,0.07647,0.4
4.204,0.07652,0.4
4.214,0.07643,0.4
4.225,0.07635,0.4
4.234,0.07608,0.4
4.245,0.07605,0.4
4.254,0.07599,0.4
4.265,0.07625,0.4
4.274,0.07626,0.4
4.285,0.07639,0.4
4.294,0.07639,0.4
4.304,0.07632,0.4
4.315,0.07623,0.4
4.325,0.07638,0.4
4.335,0.07644,0.4
4.345,0.07655,0.4
4.354,0.07656,0.4
4.365,0.07646,0.4
4.374,0.07633,0.4
4.385,0.0763,0.4
4.394,0.0762,0.4
4.405,0.07626,0.4
4.414,0.07629,0.4
4.425,0.07623,0.4
4.434,0.07623,0.4
4.444,0.07618,0.4
4.454,0.07613,0.4
4.464,0.07614,0.4
4.475,0.07627,0.4
4.484,0.07624,0.4
4.495,0.07632,0.4
4.504,0.07639,0.4
4.515,0.07641,0.4
4.524,0.07635,0.4
4.535,0.07632,0.4
4.544,0.07629,0.4
4.554,0.07625,0.4
4.565,0.07618,0.4
4.575,0.0762,0.4
4.585,0.07628,0.4
4.594,0.07636,0.4
4.604,0.07637,0.4
4.615,0.07641,0.4
4.624,0.07637,0.4
4.635,0.07635,0.4
4.644,0.07639,0.4
4.655,0.07638,0.4
4.664,0.07639,0.4
4.675,0.0764,0.4
4.684,0.07659,0.4
4.694,0.07646,0.4
4.705,0.07642,0.4
4.714,0.07647,0.4
4.725,0.07648,0.4
4.734,0.0763,0.4
