Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.20E-06
Filter Frequency,2.00E+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1.5
Label,
TIME,CH1
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,5.055
-3.08E-02,4.995
-3.08E-02,5.055
-3.07E-02,5.055
-3.07E-02,5.055
-3.07E-02,5.055
-3.07E-02,5.055
-3.07E-02,5.055
-3.07E-02,5.055
-3.07E-02,5.055
-3.07E-02,5.055
-3.07E-02,5.055
-3.07E-02,5.055
-3.07E-02,5.055
-3.07E-02,4.455
-3.07E-02,3.255
-3.07E-02,2.295
-3.07E-02,1.335
-3.07E-02,0.375
-3.07E-02,0.015
-3.07E-02,0.015
-3.07E-02,0.015
-3.07E-02,0.015
-3.07E-02,-0.045
-3.07E-02,-0.045
-3.07E-02,-0.045
-3.07E-02,0.015
-3.07E-02,-0.045
-3.07E-02,-0.045
-3.07E-02,-0.045
-3.07E-02,-0.045
-3.07E-02,0.015
-3.07E-02,-0.045
-3.07E-02,-0.045
-3.07E-02,-0.045
-3.06E-02,0.015
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,0.015
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,0.015
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,0.015
-3.06E-02,0.015
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,0.015
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,-0.045
-3.06E-02,0.015
-3.05E-02,-0.045
-3.05E-02,-0.045
-3.05E-02,0.015
-3.05E-02,0.015
-3.05E-02,0.015
-3.05E-02,0.015
-3.05E-02,-0.045
-3.05E-02,-0.045
-3.05E-02,-0.045
-3.05E-02,0.015
-3.05E-02,-0.045
-3.05E-02,-0.045
-3.05E-02,-0.045
-3.05E-02,-0.045
-3.05E-02,-0.045
-3.05E-02,-0.045
-3.05E-02,0.015
-3.05E-02,0.015
-3.05E-02,-0.045
-3.05E-02,0.015
-3.05E-02,-0.045
-3.05E-02,-0.045
-3.05E-02,0.015
-3.05E-02,0.015
-3.05E-02,-0.045
-3.05E-02,0.015
-3.05E-02,0.015
-3.05E-02,-0.045
-3.05E-02,0.015
-3.05E-02,-0.045
-3.05E-02,0.015
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,0.015
-3.04E-02,0.015
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,0.015
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,0.015
-3.04E-02,0.015
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,0.015
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,0.015
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,-0.045
-3.04E-02,-0.045
